id,station_name
796,ADDAKHLA
190,AEROPORT Med V
745,AGADIR  (SUPRAT.)
832,AGDZ (SUPRAT.)
884,AIN DEFALI
411,AIN SBIT
213,AIN SEBAA
367,AIN-TAOUJDATE
313,AL AKBA LHAMRA
317,ASILAH
761,ASSA
625,AZEMMOUR HALTE
852,AZROU (SUPRAT.)
120,BENGUERIR
660,BENI NSAR PORT
662,BENI NSAR VILLE
800,BENI-MELLAL
470,BENI-OUKIL
183,BERRECHID
71,BIDANE
755,BOUIZAKARNE
794,BOUJDOUR
828,BOUMALNE
187,BOUSKOURA
221,BOUZNIKA
191,Casa Oasis
206,CASA PORT
200,CASA VOYAGEURS
419,CHEBABAT
888,CHEFCHAOUEN
310,DALIA
261,DAR EL GUEDARI
445,EL AGREB
459,EL AIOUN
772,El Argoub (Supra)
81,EL ARIA
171,EL GOUFAF
850,EL HAJEB (SUPRAT.)
610,EL JADIDA
135,EL KHEMISSET
325,EL KSAR EL KEBIR
826,ELKELAA MGOUNA
194,ENNASSIM
185,ENNOUASSER
861,EOUFOUSS     (SUPRAT.)
862,ERFOUD (SUPRAT.)
860,ERRACHIDIA (SUPRAT.)
858,ERRICH       (SUPRAT.)
740,ESSAOUIRA
192,FACULTES
380,FES
892,FNIDEQ (SUPRA.)
759,FOUM ZGUID
811,FQUIH BEN SALAH
778,Gargarate (Supra)
844,GUELMIMA
760,GUELMIME
441,GUERCIF
670,HASSI BERKANE
756,IGHREM
747,INEZGANE (SUPRAT)
882,JORF EL MELHA
801,KELAA  DES  SRAGHNAS
250,KENITRA
63,KHATT AZACANE
818,KHENIFRA (SUPRAT.)
167,KHOURIBGA
790,LAAYOUNE
791,LAAYOUNE PORT
776,Lamhariz (Supra)
324,Larache
110,MARRAKECH
893,MARTIL
417,MATMATA
890,MDIQ (SUPRA.)
339,MECHRA BEL KSIRI
128,MECHRA BEN ABBOU
363,MEKNES
362,MEKNES AL AMIR
674,MELG EL OUIDANE
193,MERS SULTAN
870,MERZOUGA (SUPRAT.)
856,MIDELT (SUPRAT.)
217,MOHAMMEDIA
153,MOUALINE EL OUED
820,MRIRT (SUPRAT.)
163,MRIZIG
437,MSOUN
666,NADOR SUD
664,NADOR VILLE
463,NAIMA
825,OUARZAZATE
423,OUED AMLIL
455,OUED METLILI
173,OUED ZEM
672,OUELED RAHOU
886,OUEZZANE
490,OUJDA
752,OULAD TEIMA
229,RABAT AGDAL
231,RABAT VILLE
155,RAS EL AIN
864,RISSANI (SUPRAT.)
57,SAFI
730,SAFI  (SUPRAT.)
237,SALE
238,SALE TABRIQUET
365,SEBAA-AIOUN
668,SELOUANE
139,SETTAT
116,SIDI BOU OTHMANE
140,SIDI EL AIDI
159,SIDI HAJJAJ
406,SIDI HARAZEM
350,SIDI KACEM
168,SIDI RHAZOUANI
264,SIDI SLIMANE MEDINA
259,SIDI YAHIA
223,SKHIRAT
785,SMARA
337,SOUK EL ARBAA
742,TAMANAR
151,TAMDROST
802,TAMELALT     (SUPRAT.)
770,TAN TAN
775,TAN TAN PORT
303,TANGER VILLE
451,TAOURIRT
780,TARFAYA
754,TAROUDANT
757,TATA
431,TAZA
774,Tchika (Supra)
227,TEMARA
806,TETOUAN
830,TINERHIR
840,TINJDAD
758,TISSINT
750,TIZNIT
321,TLETA RISSANA
318,TNINE SIDI LYAMAN
413,TOUABAA
77,YOUSSOUFIA
762,ZAG
834,ZAGORA (SUPRAT.)
816,ZAOUIAT CHEHCH (SUPRAT.)
